iter	Passed	Remaining
0	170	16880
1	308	15125
2	448	14487
3	556	13347
4	657	12495
5	767	12025
6	912	12118
7	1027	11817
8	1139	11516
9	1254	11293
10	1366	11058
11	1478	10840
12	1594	10668
13	1708	10495
14	1827	10357
15	1944	10209
16	2054	10030
17	2164	9862
18	2292	9773
19	2416	9667
20	2522	9487
21	2625	9310
22	2739	9172
23	2854	9038
24	2963	8891
25	3095	8810
26	3220	8706
27	3336	8578
28	3444	8432
29	3565	8320
30	3679	8190
31	3783	8038
32	3893	7905
33	4013	7791
34	4125	7661
35	4238	7535
36	4346	7400
37	4470	7294
38	4577	7159
39	4687	7031
40	4879	7022
41	5000	6906
42	5145	6820
43	5264	6700
44	5364	6556
45	5500	6456
46	5645	6366
47	5812	6296
48	5977	6221
49	6088	6088
50	6190	5947
51	6286	5802
52	6376	5654
53	6486	5525
54	6594	5395
55	6695	5260
56	6810	5137
57	6935	5022
58	7038	4890
59	7136	4757
60	7252	4636
61	7383	4525
62	7503	4406
63	7609	4280
64	7717	4155
65	7826	4031
66	7931	3906
67	8053	3789
68	8175	3672
69	8337	3573
70	8478	3463
71	8595	3342
72	8714	3223
73	8807	3094
74	8949	2983
75	9098	2873
76	9207	2750
77	9361	2640
78	9478	2519
79	9601	2400
80	9760	2289
81	9894	2171
82	10006	2049
83	10117	1927
84	10230	1805
85	10344	1683
86	10458	1562
87	10579	1442
88	10700	1322
89	10818	1202
90	10937	1081
91	11064	962
92	11290	849
93	11765	750
94	12267	645
95	13151	547
96	13332	412
97	13459	274
98	13574	137
99	13683	0
